,0,1
10,"[The Only Difference Between Martyrdom and Suicide Is Press Coverage]
Sit tight, I'm going to need you to keep time
Come on, just snap, snap, snap your fingers for me
Good, good, now we're making some progress
Come on, just tap, tap, tap your toes to the beat
And I believe this may call for a proper introduction, and well
Don't you see? I'm the narrator, and this is just the prologue
Swear to shake it up, if you swear to listen
Oh, we're still so young, desperate for attention
I aim to be your eyes, trophy boys, trophy wives
Swear to shake it up, if you swear to listen
Oh, we're still so young, desperate for attention
I aim to be your eyes

[Camisado]
This is the scent of dead skin on a linoleum floor
This is the scent of quarantine wings in a hospital
It's not so pleasant and it's not so conventional
It sure as hell ain't normal but we deal, we deal
The anesthetic never set in and I'm wondering where
The apathy and urgency is that I thought I phoned in
No it's not so pleasant and it's not so conventional
And it sure as hell ain't normal but we deal, we deal
You're a regular decorated emergency
You're a regular decorated emergency
Can't take the kid from the fight, take the fight from the kid
Sit back, relax, sit back, relapse again
Can't take the kid from the fight, take the fight from the kid
Just sit back, just sit back
Sit back, sit back, relax, relapse
Sit back, sit back, woah
Can't take the kid out of the fight
The I.V. and your hospital bed
This was no accident
This was a therapeutic chain of events

[But It's Better If You Do]
Now I'm of consenting age
To be forgetting you in a cabaret somewhere
Downtown where a burlesque queen
May even ask my name
As she sheds her skin on stage
I'm seated and sweating to a dance song
On the club's P.A
The strip joint veteran sits two away
Smirking between dignified sips of his dignified
Peach and lime daiquiri
And isn't this exactly where you'd like me?
I'm exactly where you'd like me, you know
Praying for love in a lap dance
And paying in naivety?
Oh, isn't this exactly where you'd like me?
I'm exactly where you'd like me, you know
Praying for love in a lap dance, oh
But, but I'm afraid that I
Well, I may have faked it
And I wouldn't be caught dead
D-dead, d-dead, d-dead in this place
Well, I'm afraid that I
That's right
Well, I may have faked it
And I wouldn't be caught dead in this place

[The Only Difference Between Martyrdom and Suicide Is Press Coverage]
(Swear to shake it up, you swear to listen
Swear to shake it up, you swear to listen
Swear to shake it up, you swear to listen
Swear to shake it up, swear to shake it up)
La-da-da-da, da-da-da-da-da, da-da-da
La-da-da-da, da-da-da-da-da
La-da-da-da, da-da-da-da-da, da-da-da
La-da-da-da, da-da-da-da-da",rock
11,"[Verse 1]
She don't leave make-up
After her kiss
All the boys at night
Think that she's theirs
All the secrets that you keep
Might get spoken while you sleep

[Chorus]
And all the boys and I
All the boys and I
Love her madly
All the boys and I
All the girls and I too (Oh, oh!)
Picture girls we want so badly
Isn't she a dream come true?

[Verse 2]
Closer now
And closer still
Then it's closer to her
'Til she knows you're there
And all our secrets that you keep
Might get spoken while you sleep

[Chorus]
And all the boys and I
All the boys and I
Love her madly
All the boys and I
All the girls and I too (Oh, oh!)
Picture girls we want so badly
Isn't she a dream come true?

[Bridge]
She came here to entertain you
You'll fall hard into her charm

[Chorus]
All the boys and I
All the boys and I
Love her madly
All the boys and I
All the girls and I too (Oh, oh!)
Picture girls we want so badly
Isn't she a dream come true?
All the boys and I
All the boys and I
Love her madly
All the boys and I
All the girls and I too (Oh, oh!)
Picture girls we want so badly
Isn't she a dream come true?",rock
12,"[Verse 1]
When the world gets too heavy
Put it on my back
I'll be your levy
You are taking me apart
Like bad glue
On a get well card

[Chorus]
It was always you
Falling for me
Now there's always time
Calling for me
I'm the light blinking at the end of the road
Blink back to let me know

[Verse 2]
I'm a fly that's trapped
In a web
But I'm thinking that
My spider's dead
Lonely, lonely little life
I could kid myself
In thinking that I'm fine

[Chorus]
It was always you
Falling for me
Now there's always time
Calling for me
I'm the light blinking at the end of the road
Blink back to let me know

[Bridge]
That I'm skin and bone
Just a king and a rusty throne
Oh, the castle's under siege
But the sign outside says, ""Leave me alone""

[Chorus]
It was always you
Falling for me
Now there's always time
Calling for me
I'm the light blinking at the end of the road
Blink back to let me know

[Outro]
(It was always you)
Blink back to let me know
(It was always you)",rock
13,"[Intro]
Covered up his smile
(?)
Around, around
Around, around

[Verse 1]
Why does it take the sun
Flyin' a million miles
To get as close as we could ever be
And turn right back around, around
Around, around

[Chorus]
Hey, I'm alright
Nothing's wrong and I don't need any help
No, It's not okay, I'm fine
But you do this to yourself
Okay, you got your way
I'm not wasting any time on this
I'll be waiting at the start of your life
When you turn it back around
Around (When you turn it back around)
Around, around

[Verse 2]
If I had the nerve
To pick up the phone
Just to hear the words behind the slurs
I'll turn this back around, around

[Chorus]
Hey, I'm alright
Nothing's wrong and I don't need any help
No, It's not okay, I'm fine
But you do this to yourself
Okay, you got your way
I'm not wasting any time on this
I'll be waiting at the start of your life
When you turn it back around
Around (When you turn it back)
Around (When you turn it back)
Around
Around (It doesn't matter what you say or think)
Around (When the words are faked with ?)
Around (What were left, what were left, what were left)
Around (Who'd you be? Who'd you be? Who'd you be?)

[Bridge]
What is it gonna take
To make your car break down
And realize mistake's repairable
You can turn it back around, around
Around, around

[Chorus]
Hey, I'm alright
Nothing's wrong and I don't need any help
No, It's not okay, I'm fine
But you do this to yourself
Okay, you got your way
I'm not wasting any time on this
I'll be waiting at the start of your life
When you turn it back around
Around (When you turn it back)
Around (When you turn it back)
Around (When you turn it back)
Around (It doesn't matter what you say or think)
Around (When the words are faked with ?)
Around (What were left, what were left, what were left?)
Around (Who'd you be? Who'd you be? Who'd you be?)",rock
14,"1. ""Say Amen (Saturday Night)""
2. ""Emperor's New Clothes""
3. ""High Hopes""
4. ""Bohemian Rhapsody"" (Queen cover)
5. ""Death of a Bachelor""
6. ""I Write Sins Not Tragedies""
7. ""Victorious""",rock
15,"[Verse 1]
And after the storm
I run and run as the rains come
And I look up, I look up
On my knees and out of luck
I look up

Night has always pushed up day
You must know life to see decay
But I won't rot, I won't rot
Not this mind and not this heart
I won't rot

[Pre-Chorus 1]
And I took you by the hand
And we stood tall
And remembered our own land
What we lived for

[Chorus]
But there will come a time
You'll see, with no more tears
And love will not break your heart
But dismiss your fears
Get over your hill and see
What you find there
With grace in your heart
And flowers in your hair

[Verse 2]
And now I cling to what I knew
I saw exactly what was true
But oh no more
That's why I hold
That's why I hold with all I have
That's why I hold

[Pre-Chorus 2]
And I won't die alone
And be left there
Well I guess I'll just go home
Oh God knows where
Because death is just so full
And man so small
Well I'm scared of what's behind
And what's before

[Chorus]
There will come a time
You'll see, with no more tears
And love will not break your heart
But dismiss your fears
Get over your hill and see
What you find there
With grace in your heart
And flowers in your hair
And there will come a time
You'll see, with no more tears
And love will not break your heart
But dismiss your fears
Get over your hill and see
What you find there
With grace in your heart
And flowers in your hair",rock
16,"[Ben Lovett]
There won’t be any Mumford & Sons activities for the foreseeable future following Friday’s show.

[Rolling Stone]
How long?

[Lovett]
We have no idea. We just know we’re going to take a considerable amount of time off and just go back to hanging out and having no commitments or pressure or anything like that. It feels like the last week of school right now, before school holiday when you’re in high school. The atmosphere on the road is one of . . . I think everyone’s excited about being free of schedules.

We’re just going to rest up. I don’t think we’ve had actually much time in the process to be with other people and living a life outside of the band. I think that’s what’s in place at the moment, to do very little – especially when it comes to Mumford & Sons.",rock
17,"[Verse 1]
How fickle my heart and how woozy my eyes
I struggle to find any truth in your lies
And now my heart stumbles on things I don't know
My weakness I feel I must finally show

Lend me your hand and we'll conquer them all
But lend me your heart and I'll just let you fall
Lend me your eyes I can change what you see
But your soul you must keep, totally free

Har har, har har
Har har, har har

[Chorus]
Awake my soul
Awake my soul

[Verse 2]
How fickle my heart and how woozy my eyes
I struggle to find any truth in your lies
And now my heart stumbles on things I don't know
My weakness I feel I must finally show

Har har, har har
Har har, har har

[Bridge]
In these bodies we will live
In these bodies we will die
Where you invest your love
You invest your life

In these bodies we will live
In these bodies we will die
And where you invest your love
You invest your life

[Chorus]
Yeah
Awake my soul
Awake my soul
Awake my soul
For you were made to meet your maker

Awake my soul
Awake my soul
Awake my soul
For you were made to meet your maker
You were made to meet your maker",rock
18,"How fickle my heart and how woozy my eyes
I struggle to find any truth in your lies
And now my heart stumbles on things I don't know
M y weakness I feel I must finally show
Lend me your hand and we'll conquer them all
But lend me your heart and I'll just let you fall
Lend me your eyes I can change what you see
But your soul you must keep, totally free
Har har, har har, har har, har har
Awake my soul, awake my soul
Awake my soul
How fickle my heart and how woozy my eyes
I struggle to find any truth in your lies
And now my heart stumbles on things I don't know
My weakness I feel I must finally show
Har har, har har, har har, har har
In these bodies we will live, in these bodies we will die
Where you invest your love, you invest your life
In these bodies we will live, in these bodies we will die
And where you invest your love, you invest your life
Awake my soul, awake my soul
Awake my soul
For you were made to meet your maker
Awake my soul, awake my soul
Awake my soul
For you were made to meet your maker
You were made to meet your maker",rock
19,"How fickle my heart and how woozy my eyes
I struggle to find any truth in your lies
And now my heart stumbles on things I don't know
M y weakness I feel I must finally show
Lend me your hand and we'll conquer them all
But lend me your heart and I'll just let you fall
Lend me your eyes I can change what you see
But your soul you must keep, totally free
Har har, har har, har har, har har
Awake my soul, awake my soul
Awake my soul
How fickle my heart and how woozy my eyes
I struggle to find any truth in your lies
And now my heart stumbles on things I don't know
My weakness I feel I must finally show
Har har, har har, har har, har har
In these bodies we will live, in these bodies we will die
Where you invest your love, you invest your life
In these bodies we will live, in these bodies we will die
And where you invest your love, you invest your life
Awake my soul, awake my soul
Awake my soul
For you were made to meet your maker
Awake my soul, awake my soul
Awake my soul
For you were made to meet your maker
You were made to meet your maker",rock
20,"[Verse 1]
Gone, separate me from this loss I've known
Tolerate these stitches I have sewn
(We bare scars of our lives
A love affair as sharp as a knife)
I only cut myself to feel like I'm alive
(To feel like I'm alive)

[Chorus]
Better than the devil when you said it
But you never want to give a little credit (Dead)
Better to the devil you'd forget it
What you didn't know ya going regret it (Dead)
Better than the devil when you said it
But you never want to give a credit (Dead)
Better to the devil you'd forget it
What you didn't know ya going regret it (Dead)

[Verse 2]
Lost, desperately we're searching for a cause
Warriors, rebels without a cause
(We bare scars of our lives
A love affair as sharp as a knife)
I only cut myself to feel like I'm alive
(To feel like I'm alive)

[Chorus]
Better than the devil when you said it
But you never want to give a little credit (Dead)
Better to the devil you'd forget it
What you didn't know ya going regret it (Dead)
Better than the devil when you said it
But you never want to give a credit (Dead)
Better to the devil you'd forget it
What you didn't know ya going regret it (Dead)

[Bridge]
Ending in vain
Occupied suicide all our lives
End in vain
Occupied suicide all our lives
End in vain
Occupied suicide all our lives
End in vain

[Chorus]
Better than the devil when you said it
But you never want to give a little credit (Dead)
Better to the devil you'd forget it
What you didn't know ya going regret it (Dead)
Better than the devil when you said it
But you never want to give a credit (Dead)
Better to the devil you'd forget it
What you didn't know ya going regret it (Dead)

[Outro]
You're going to regret this",rock
21,"I'm at the bottom, can you come let me up
Cause I wrote a vow for you
Your friends are faded let me fill up your cup
And toast to the stars over

The ocean's floor
Emotions in the air

I don't wanna live for nothing
Just wanna be something
I never knew what it took to win
I don't wanna live for nothing
Just wanna be something
I never knew we'd be more than friends

We spin the bottle till we're kissing our cups
Felt like I'd die for you
You can't explain it, it's been years since we've touched
And I've waited nine for you

I don't wanna live for nothing
Just wanna be something
I never knew what it took to win
I don't wanna live for nothing
Just wanna be something
I never knew we'd be more than friends

Come let me up
Can you hear me now
About half a block away out
Can you hear me now

The ocean's floor
Emotions in the air

I don't wanna live for nothing
Just wanna be something
I never knew what it took to win
I don't wanna live for nothing
Just wanna be something
I never knew we'd be more than friends

Come let me up
Can you hear me now?
Come let me up
About half a block away out
Come let me up
Can you hear me now
Come let me up
About half a block away out
Come let me up

Can you hear me now
Come let me up
About half a block away out
Come let me up",rock
22,"You know that blame shit gettin' old
You keep assuming I care
Another chase unfolds when the moon is full again
A silver bullet painted gold
Another trapped in the snare

Cause even Jesus can't save us baby
Even Jesus can't save
Even Jesus can't save
Even Jesus can't save us baby

So when the wolves awaken
And the witches burn
Now tell me would you face it
When you start to turn

Keeping up with the ghost
A dozen dimes for the dead
An apparition cold
When the moon is full again
And you belong with your bones
Another throne made of death

Cause even Jesus can't save us baby
Even Jesus can't save
Even Jesus can't save
Even Jesus can't save us baby

So when the wolves awaken
And the witches burn
Now tell me would you face it
When you start to turn

JESUS SAVES
JESUS SLAVES
JESUS SAVES
JESUS....
SLAVES

So when the wolves awaken
And the witches burn
Now tell me would you face it
When you start to turn

So when the wolves awaken
And the witches burn
Now tell me would you face it
When you start to turn

JESUS SAVES
JESUS SLAVES
JESUS SAVES
JESUS....
SLAVES",rock
23,"[Verse 1]
Slave away, it's just another day
It's just another day without meaning
Blue to gray, another bill to pay
Until you die under a glass ceiling

Gas prices rise, we numb our feelings
Monetized and bipolarized
By the drugs that they've been dealing

[Chorus]
Staring awake at the ceiling
You promised never to forgive
Tearing apart at the seams, baby
You better learn to fucking live

Because this world don't give a shit

[Verse 2]
Run the track and fucking play it back
And ask yourself when you stopped believing
Look inside, you can no longer hide
The discontentment that you've been feeling

There's so much more this life can hold
If you ignored the fucking broken record
Of a dream you've bought and sold

[Chorus]
Staring awake at the ceiling
You promised never to forgive
Tearing apart at the seams, baby
You better learn to fucking live

[x3]

You better learn to fucking live
You better learn to fucking live (Live, live, live)
You better learn to fucking live (Live, live, live)
Because this world don't give a shit",rock
24,"They're gonna take this
Strumming along hammer it in so I can sing my song
The devil's done this to me
I tore this place down, call out
Building the cages that broke us down
Boy get back down on your knees

So  take these
Chains from me
Break these bastards
The'res no masters here
In the end
Break these bastards
There's no masters here

A thousand boots down on the ground
Beating the drum under a marching sound
You better fucking believe
They're screaming left right, left right
Fists in the air you better pick a side
Against the plutocracy

So  take these
Chains from me
Break these bastards
The'res no masters here
In the end
Break these bastards
There's no masters here

Save the world
We never wanted, we never wanted
Save the world
We never wanted to have to save ourselves

So  take these
Chains from me
Break these bastards
The'res no masters here
In the end
Break these bastards
There's no masters here",rock
25,"[Verse 1]
I'm writing you to catch you up on places I've been
And you held this letter
Probably got excited, but there's nothing else inside it

[Pre-Chorus]
Didn't have a camera by my side this time
Hoping I would see the world through both my eyes
Maybe I will tell you all about it when
I'm in the mood to lose my way with words

[Verse 2]
Today, skies are painted colors of a cowboy cliche
And strange how clouds that look like mountains in the sky
Are next to mountains anyway

[Pre-Chorus]

[Chorus]
But let me say
You should have seen that sunrise
With your own eyes
It brought me back to life
You'll be with me next time I go outside
Just no more 3x5s

[Bridge]
I guess you had to be there
Guess you had to be with me

[Verse 3]
Today I finally overcame
Trying to fit the world inside a picture frame
Maybe I will tell you all about it when
I'm in the mood to lose my way
But let me say

[Chorus]
But let me say
You should have seen that sunrise
With your own eyes
It brought me back to life
You'll be with me next time I go outside
Just no more 3x5s",rock
26,"I'm writing you to catch you up on places I've been
And you held this letter probably got excited
But there's nothing else inside it

Didn't have a camera by my side this time
Hoping I would see the world with both my eyes
Maybe I will tell you all about it
When I'm in the mood
To lose my way
With words

Today skies are painted colors of a cowboy's cliché
And strange how clouds that look like mountains
In the sky are next to mountains anyway

Didn't have a camera by my side this time
Hoping I would see the world with both my eyes
Maybe I will tell you all about it
When I'm in the mood
To lose my way but let me say

You should have seen that sunrise
With your own eyes
It brought me back to life
You'll be with me next time I go outside
No more 3x5's

I guess you had to be there
I guess you had to be with me

Oh today I finally overcame
Tryin' to fit the world inside a picture frame
Maybe I will tell you all about it
When I'm in the mood
To lose my way but let me say

You should have seen that sunrise
With your own eyes
It brought me back to life
You'll be with me next time I go outside
No more 3x5's
Just no more 3x5's",rock
27,"I'm writing you to catch you up on places I've been
And you held this letter probably got excited
But there's nothing else inside it

Didn't have a camera by my side this time
Hoping I would see the world with both my eyes
Maybe I will tell you all about it
When I'm in the mood
To lose my way
With words

Today skies are painted colors of a cowboy's cliché
And strange how clouds that look like mountains
In the sky are next to mountains anyway

Didn't have a camera by my side this time
Hoping I would see the world with both my eyes
Maybe I will tell you all about it
When I'm in the mood
To lose my way but let me say

You should have seen that sunrise
With your own eyes
It brought me back to life
You'll be with me next time I go outside
No more 3x5's

I guess you had to be there
I guess you had to be with me

Oh today I finally overcame
Tryin' to fit the world inside a picture frame
Maybe I will tell you all about it
When I'm in the mood
To lose my way but let me say

You should have seen that sunrise
With your own eyes
It brought me back to life
You'll be with me next time I go outside
No more 3x5's
Just no more 3x5's",rock
28,"[Verse 1]
I've these dreams I'm walking home
Home when it used to be
And everything is as it was
Frozen in front of me

Here I stand, 6 feet small
Romanticizing years ago
It's a bitter sweet feeling
Hearing ""Wrapped Around Your Finger"" on the radio

[Pre-Chorus]
And these days
I wish I was 6 again
Oh, make me a red cape
I want to be Superman

[Chorus]
Oh, if only my life was more like 1983
All these things would be
More like they were at the start of me
Heaven made in '83

[Verse 2]
Thinking about my brother, Ben
I miss him every day
He looks just like his brother, John
But on an 18 month delay

Here I stand, 6 feet small
And smiling because I'm scared as hell
Kind of like my life is like a sequel to a movie
Where the actor's names have changed, oh well

[Pre-Chorus]

[Chorus]

[Verse 3]
And most my memories have escaped me
Or confused themselves with dreams
If heaven's all we want it to be
Send your prayers to me
Care of 1983

You can paint that house a rainbow of colors
Rip out the floorboards
Replace the shutters but
That's my plastic in the dirt

[Outro]
Whatever happened to my
Whatever happened to my
Whatever happened to my lunchbox?
When came the day that it got thrown away
And don't you think I should have had some say in that decision?",rock
29,"I've these dreams of walking home
Home where it used to be
And everything is as it was
Frozen in front of me
Here I stand, 6 feet small
Romanticizing years ago
But it's a bitter sweet feeling hearing
'Wrapped around your finger' on the radio
And these days
I wish I was 6 again
Oh, make me a red cape
I wanna be superman
Oh, if only my life was more like 1983
All these things would be more
Like they were at the start of me
Had it made in '83
Thinking 'bout my brother Ben
I miss him every day
Well, he looks just like his brother John
But on an 18 month delay
Here I stand, 6 feet small
And smiling 'cause I'm scared as Hell
Kind of like my life is like a sequel to a movie
Where the actor's names have changed, oh well
Well, these days
I wish I was 6 again
Oh, make me a red cape
I wanna be superman
Oh, if only my life was more like 1983
All these things would be more
Like they were at the start of me
If my life was more like 1983
Plot a course to the source of the
Purest little part of me
And most of my memories have escaped me
Or confused themselves with dreams
If Heaven's all we want it to be
Send your prayers to me, care of 1983
You can paint that house a rainbow of colors
Rip out the floorboards, replace the shutters
But that's my plastic in the dirt
Whatever happened to my, whatever happened to my
Whatever happened to my lunchbox
When came the day that it got thrown away
And don't you think I should have had some say in that decision
If only my life
If only my life
If only my life
...",rock
